model,lin_auc_mean,lin_auc_std,lin_acc_mean,armd_only_auc,armd_only_n,armd_other_auc,armd_other_n,raw_pixel_auc_mean,silhouette
CAE_v4,0.6851200000000001,0.018136195852493448,0.6540000000000001,0.73125,16,0.6566666666666667,12,0.8101600000000001,0.0432523712515831
CAE_v4_5skips,0.73056,0.0101747923811742,0.656,0.69875,16,0.7916666666666667,12,0.8101600000000001,0.16453951597213745
CAE_v4_early_skips,0.65504,0.02764876850783775,0.5999999999999999,0.70375,16,0.6416666666666666,12,0.8101600000000001,0.26581695675849915
CAE_v4_deep_skips,0.74,0.024266520146077847,0.714,0.76625,16,0.7283333333333334,12,0.8101600000000001,0.01015472412109375
Diffusion_noskip_v1,0.6388,0.0007155417527999284,0.608,0.70875,16,0.59,12,0.8101600000000001,0.14697574079036713
Diffusion_v1,0.8601599999999999,0.013098030386283304,0.784,0.90375,16,0.9166666666666666,12,0.8101600000000001,0.015459675341844559
Diffusion_2early_skips_v1,0.8493600000000001,0.01868578069013975,0.772,0.9049999999999999,16,0.9383333333333332,12,0.8101600000000001,0.05566050112247467
GAE_knn_v1,0.8218399999999999,0.014726520295032405,0.7479999999999999,0.865,16,0.8300000000000001,12,0.8101600000000001,0.07495368272066116
