model,budget_pos,auc_mean,auc_std,acc_mean,acc_std,n_repeats
Diffusion_v1,10,0.6634,0.0417,0.602,0.036,5
Diffusion_v1,25,0.6739,0.0148,0.614,0.0196,5
Diffusion_v1,50,0.7282,0.0293,0.672,0.0431,5
Diffusion_v1,100,0.7555,0.0148,0.652,0.0471,5
Diffusion_2early_skips_v1,10,0.6847,0.0241,0.616,0.0242,5
Diffusion_2early_skips_v1,25,0.6766,0.0397,0.602,0.0492,5
Diffusion_2early_skips_v1,50,0.7161,0.0247,0.63,0.0385,5
Diffusion_2early_skips_v1,100,0.6871,0.1469,0.634,0.0653,5
